Date,_GSPC,IEF,GLD,BIL
2012-12-28,,,,
2012-12-31,,,,
2013-01-02,,,,
2013-01-03,,,,
2013-01-04,,,,
2013-01-07,,,,
2013-01-08,,,,
2013-01-09,,,,
2013-01-10,,,,
2013-01-11,,,,
2013-01-14,,,,
2013-01-15,,,,
2013-01-16,,,,
2013-01-17,,,,
2013-01-18,,,,
2013-01-22,,,,
2013-01-23,,,,
2013-01-24,,,,
2013-01-25,,,,
2013-01-28,,,,
2013-01-29,,,,
2013-01-30,,,,
2013-01-31,,,,
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,,,,
2013-04-30,,,,
2013-05-01,,,,
2013-05-02,,,,
2013-05-03,,,,
2013-05-06,,,,
2013-05-07,,,,
2013-05-08,,,,
2013-05-09,0.06312718608323023,0.12755140467104042,0.01771611619605167,0.7916052930496775
2013-05-10,0.06312718608323023,0.12755140467104042,0.01771611619605167,0.7916052930496775
2013-05-13,0.06312718608323023,0.12755140467104042,0.01771611619605167,0.7916052930496775
2013-05-14,0.06312718608323023,0.12755140467104042,0.01771611619605167,0.7916052930496775
2013-05-15,0.06312718608323023,0.12755140467104042,0.01771611619605167,0.7916052930496775
2013-05-16,0.056901759032277566,0.09907397829976404,0.013034811229824854,0.8
2013-05-17,0.056901759032277566,0.09907397829976404,0.013034811229824854,0.8
2013-05-20,0.056901759032277566,0.09907397829976404,0.013034811229824854,0.8
2013-05-21,0.056901759032277566,0.09907397829976404,0.013034811229824854,0.8
2013-05-22,0.056901759032277566,0.09907397829976404,0.013034811229824854,0.8
2013-05-23,0.062267837391819326,0.07443087881529417,0.01380886137495678,0.8
2013-05-24,0.062267837391819326,0.07443087881529417,0.01380886137495678,0.8
2013-05-28,0.062267837391819326,0.07443087881529417,0.01380886137495678,0.8
2013-05-29,0.062267837391819326,0.07443087881529417,0.01380886137495678,0.8
2013-05-30,0.062267837391819326,0.07443087881529417,0.01380886137495678,0.8
2013-05-31,0.05841337260612137,0.0828247610137346,0.017661193014739354,0.8
2013-06-03,0.05841337260612137,0.0828247610137346,0.017661193014739354,0.8
2013-06-04,0.05841337260612137,0.0828247610137346,0.017661193014739354,0.8
2013-06-05,0.05841337260612137,0.0828247610137346,0.017661193014739354,0.8
2013-06-06,0.05841337260612137,0.0828247610137346,0.017661193014739354,0.8
2013-06-07,0.05332498861886507,0.08391285334379965,0.01562557964530646,0.8
2013-06-10,0.05332498861886507,0.08391285334379965,0.01562557964530646,0.8
2013-06-11,0.05332498861886507,0.08391285334379965,0.01562557964530646,0.8
2013-06-12,0.05332498861886507,0.08391285334379965,0.01562557964530646,0.8
2013-06-13,0.05332498861886507,0.08391285334379965,0.01562557964530646,0.8
2013-06-14,0.07014179697056187,0.0812644028109351,0.01643924974297453,0.8
2013-06-17,0.07014179697056187,0.0812644028109351,0.01643924974297453,0.8
2013-06-18,0.07014179697056187,0.0812644028109351,0.01643924974297453,0.8
2013-06-19,0.07014179697056187,0.0812644028109351,0.01643924974297453,0.8
2013-06-20,0.07014179697056187,0.0812644028109351,0.01643924974297453,0.8
2013-06-21,0.060481540196968685,0.07165863651632139,0.01566541242172899,0.8
2013-06-24,0.060481540196968685,0.07165863651632139,0.01566541242172899,0.8
2013-06-25,0.060481540196968685,0.07165863651632139,0.01566541242172899,0.8
2013-06-26,0.060481540196968685,0.07165863651632139,0.01566541242172899,0.8
2013-06-27,0.060481540196968685,0.07165863651632139,0.01566541242172899,0.8
2013-06-28,0.061780689183072404,0.09170687838747722,0.014256818960022543,0.8
2013-07-01,0.061780689183072404,0.09170687838747722,0.014256818960022543,0.8
2013-07-02,0.061780689183072404,0.09170687838747722,0.014256818960022543,0.8
2013-07-03,0.061780689183072404,0.09170687838747722,0.014256818960022543,0.8
2013-07-05,0.061780689183072404,0.09170687838747722,0.014256818960022543,0.8
2013-07-08,0.04723894834200915,0.061754974990888535,0.01577323320426174,0.8
2013-07-09,0.04723894834200915,0.061754974990888535,0.01577323320426174,0.8
2013-07-10,0.04723894834200915,0.061754974990888535,0.01577323320426174,0.8
2013-07-11,0.04723894834200915,0.061754974990888535,0.01577323320426174,0.8
2013-07-12,0.04723894834200915,0.061754974990888535,0.01577323320426174,0.8
2013-07-15,0.05946650426935314,0.055348167513681545,0.014931039494787274,0.8
2013-07-16,0.05946650426935314,0.055348167513681545,0.014931039494787274,0.8
2013-07-17,0.05946650426935314,0.055348167513681545,0.014931039494787274,0.8
2013-07-18,0.05946650426935314,0.055348167513681545,0.014931039494787274,0.8
2013-07-19,0.05946650426935314,0.055348167513681545,0.014931039494787274,0.8
2013-07-22,0.06757922281735823,0.06410203350212068,0.017291546027384527,0.8
2013-07-23,0.06757922281735823,0.06410203350212068,0.017291546027384527,0.8
2013-07-24,0.06757922281735823,0.06410203350212068,0.017291546027384527,0.8
2013-07-25,0.06757922281735823,0.06410203350212068,0.017291546027384527,0.8
2013-07-26,0.06757922281735823,0.06410203350212068,0.017291546027384527,0.8
2013-07-29,0.08050322243623949,0.07664021469144519,0.0223923803374908,0.8
2013-07-30,0.08050322243623949,0.07664021469144519,0.0223923803374908,0.8
2013-07-31,0.08050322243623949,0.07664021469144519,0.0223923803374908,0.8
2013-08-01,0.08050322243623949,0.07664021469144519,0.0223923803374908,0.8
2013-08-02,0.08050322243623949,0.07664021469144519,0.0223923803374908,0.8
2013-08-05,0.05973706438204516,0.06756264806218978,0.01978083109298561,0.8
2013-08-06,0.05973706438204516,0.06756264806218978,0.01978083109298561,0.8
2013-08-07,0.05973706438204516,0.06756264806218978,0.01978083109298561,0.8
2013-08-08,0.05973706438204516,0.06756264806218978,0.01978083109298561,0.8
2013-08-09,0.05973706438204516,0.06756264806218978,0.01978083109298561,0.8
2013-08-12,0.07809214238433773,0.08448124610317695,0.019903841658742642,0.8
2013-08-13,0.07809214238433773,0.08448124610317695,0.019903841658742642,0.8
2013-08-14,0.07809214238433773,0.08448124610317695,0.019903841658742642,0.8
2013-08-15,0.07809214238433773,0.08448124610317695,0.019903841658742642,0.8
2013-08-16,0.07809214238433773,0.08448124610317695,0.019903841658742642,0.8
2013-08-19,0.08796484713511199,0.07406451026716898,0.016853134746845456,0.8
2013-08-20,0.08796484713511199,0.07406451026716898,0.016853134746845456,0.8
2013-08-21,0.08796484713511199,0.07406451026716898,0.016853134746845456,0.8
2013-08-22,0.08796484713511199,0.07406451026716898,0.016853134746845456,0.8
2013-08-23,0.08796484713511199,0.07406451026716898,0.016853134746845456,0.8
2013-08-26,0.07812491316870905,0.063543957835499,0.01913389044118132,0.8
2013-08-27,0.07812491316870905,0.063543957835499,0.01913389044118132,0.8
