Date,_GSPC,IEF,GLD,BIL
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,,,,
2010-05-17,0.02048696642334899,0.13782822974134967,0.020418289012419155,0.8
2010-05-18,0.02048696642334899,0.13782822974134967,0.020418289012419155,0.8
2010-05-19,0.02048696642334899,0.13782822974134967,0.020418289012419155,0.8
2010-05-20,0.02048696642334899,0.13782822974134967,0.020418289012419155,0.8
2010-05-21,0.02048696642334899,0.13782822974134967,0.020418289012419155,0.8
2010-05-24,0.016187876911368037,0.12588111845206917,0.020857093047601055,0.8
2010-05-25,0.016187876911368037,0.12588111845206917,0.020857093047601055,0.8
2010-05-26,0.016187876911368037,0.12588111845206917,0.020857093047601055,0.8
2010-05-27,0.016187876911368037,0.12588111845206917,0.020857093047601055,0.8
2010-05-28,0.016187876911368037,0.12588111845206917,0.020857093047601055,0.8
2010-06-01,0.012432137824058718,0.0930141777183729,0.01747376442858991,0.8
2010-06-02,0.012432137824058718,0.0930141777183729,0.01747376442858991,0.8
2010-06-03,0.012432137824058718,0.0930141777183729,0.01747376442858991,0.8
2010-06-04,0.012432137824058718,0.0930141777183729,0.01747376442858991,0.8
2010-06-07,0.012432137824058718,0.0930141777183729,0.01747376442858991,0.8
2010-06-08,0.01618263344588493,0.11520141001160494,0.034493884698776414,0.8
2010-06-09,0.01618263344588493,0.11520141001160494,0.034493884698776414,0.8
2010-06-10,0.01618263344588493,0.11520141001160494,0.034493884698776414,0.8
2010-06-11,0.01618263344588493,0.11520141001160494,0.034493884698776414,0.8
2010-06-14,0.01618263344588493,0.11520141001160494,0.034493884698776414,0.8
2010-06-15,0.01389038110136176,0.10179314464097985,0.02815783839920823,0.8
2010-06-16,0.01389038110136176,0.10179314464097985,0.02815783839920823,0.8
2010-06-17,0.01389038110136176,0.10179314464097985,0.02815783839920823,0.8
2010-06-18,0.01389038110136176,0.10179314464097985,0.02815783839920823,0.8
2010-06-21,0.01389038110136176,0.10179314464097985,0.02815783839920823,0.8
2010-06-22,0.01653112802110435,0.10082147242891473,0.02534843285944993,0.8
2010-06-23,0.01653112802110435,0.10082147242891473,0.02534843285944993,0.8
2010-06-24,0.01653112802110435,0.10082147242891473,0.02534843285944993,0.8
2010-06-25,0.01653112802110435,0.10082147242891473,0.02534843285944993,0.8
2010-06-28,0.01653112802110435,0.10082147242891473,0.02534843285944993,0.8
2010-06-29,0.015421832486473198,0.123157254292965,0.02350231594500322,0.8
2010-06-30,0.015421832486473198,0.123157254292965,0.02350231594500322,0.8
2010-07-01,0.015421832486473198,0.123157254292965,0.02350231594500322,0.8
2010-07-02,0.015421832486473198,0.123157254292965,0.02350231594500322,0.8
2010-07-06,0.015421832486473198,0.123157254292965,0.02350231594500322,0.8
2010-07-07,0.019328928749598275,0.1215261697367871,0.019789134324016844,0.8
2010-07-08,0.019328928749598275,0.1215261697367871,0.019789134324016844,0.8
2010-07-09,0.019328928749598275,0.1215261697367871,0.019789134324016844,0.8
2010-07-12,0.019328928749598275,0.1215261697367871,0.019789134324016844,0.8
2010-07-13,0.019328928749598275,0.1215261697367871,0.019789134324016844,0.8
2010-07-14,0.014385615349259216,0.1285473090903044,0.02009415079220634,0.8
2010-07-15,0.014385615349259216,0.1285473090903044,0.02009415079220634,0.8
2010-07-16,0.014385615349259216,0.1285473090903044,0.02009415079220634,0.8
2010-07-19,0.014385615349259216,0.1285473090903044,0.02009415079220634,0.8
2010-07-20,0.014385615349259216,0.1285473090903044,0.02009415079220634,0.8
2010-07-21,0.01191519681041681,0.09987357462649149,0.018534372502844627,0.8
2010-07-22,0.01191519681041681,0.09987357462649149,0.018534372502844627,0.8
2010-07-23,0.01191519681041681,0.09987357462649149,0.018534372502844627,0.8
2010-07-26,0.01191519681041681,0.09987357462649149,0.018534372502844627,0.8
2010-07-27,0.01191519681041681,0.09987357462649149,0.018534372502844627,0.8
2010-07-28,0.011474782604065767,0.08897135734060602,0.020245293189099834,0.8
2010-07-29,0.011474782604065767,0.08897135734060602,0.020245293189099834,0.8
2010-07-30,0.011474782604065767,0.08897135734060602,0.020245293189099834,0.8
2010-08-02,0.011474782604065767,0.08897135734060602,0.020245293189099834,0.8
2010-08-03,0.011474782604065767,0.08897135734060602,0.020245293189099834,0.8
2010-08-04,0.04929159411176779,0.09554301810137644,0.02838164244111563,0.8
2010-08-05,0.04929159411176779,0.09554301810137644,0.02838164244111563,0.8
2010-08-06,0.04929159411176779,0.09554301810137644,0.02838164244111563,0.8
2010-08-09,0.04929159411176779,0.09554301810137644,0.02838164244111563,0.8
2010-08-10,0.04929159411176779,0.09554301810137644,0.02838164244111563,0.8
2010-08-11,0.05047179418243844,0.0907076210885017,0.028949968255751926,0.8
2010-08-12,0.05047179418243844,0.0907076210885017,0.028949968255751926,0.8
2010-08-13,0.05047179418243844,0.0907076210885017,0.028949968255751926,0.8
2010-08-16,0.05047179418243844,0.0907076210885017,0.028949968255751926,0.8
2010-08-17,0.05047179418243844,0.0907076210885017,0.028949968255751926,0.8
2010-08-18,0.037702792327267226,0.0674929642140865,0.020450469233045533,0.8
2010-08-19,0.037702792327267226,0.0674929642140865,0.020450469233045533,0.8
2010-08-20,0.037702792327267226,0.0674929642140865,0.020450469233045533,0.8
2010-08-23,0.037702792327267226,0.0674929642140865,0.020450469233045533,0.8
2010-08-24,0.037702792327267226,0.0674929642140865,0.020450469233045533,0.8
2010-08-25,0.03930470854771997,0.0682006368900091,0.02202717680565973,0.8
2010-08-26,0.03930470854771997,0.0682006368900091,0.02202717680565973,0.8
2010-08-27,0.03930470854771997,0.0682006368900091,0.02202717680565973,0.8
2010-08-30,0.03930470854771997,0.0682006368900091,0.02202717680565973,0.8
2010-08-31,0.03930470854771997,0.0682006368900091,0.02202717680565973,0.8
2010-09-01,0.04091867472484668,0.06281865542370936,0.023343884623663404,0.8
2010-09-02,0.04091867472484668,0.06281865542370936,0.023343884623663404,0.8
2010-09-03,0.04091867472484668,0.06281865542370936,0.023343884623663404,0.8
2010-09-07,0.04091867472484668,0.06281865542370936,0.023343884623663404,0.8
2010-09-08,0.04091867472484668,0.06281865542370936,0.023343884623663404,0.8
2010-09-09,0.038869241070300355,0.05965650228817639,0.024705918447025937,0.8
2010-09-10,0.038869241070300355,0.05965650228817639,0.024705918447025937,0.8
