Date,_GSPC,IEF,GLD,BIL
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,0.02019671886316786,0.14353439667729304,0.0205221445125514,0.8
2010-05-17,0.02019671886316786,0.14353439667729304,0.0205221445125514,0.8
2010-05-18,0.02019671886316786,0.14353439667729304,0.0205221445125514,0.8
2010-05-19,0.02019671886316786,0.14353439667729304,0.0205221445125514,0.8
2010-05-20,0.02019671886316786,0.14353439667729304,0.0205221445125514,0.8
2010-05-21,0.017494105794527072,0.1258016514173026,0.019756050686739118,0.8
2010-05-24,0.017494105794527072,0.1258016514173026,0.019756050686739118,0.8
2010-05-25,0.017494105794527072,0.1258016514173026,0.019756050686739118,0.8
2010-05-26,0.017494105794527072,0.1258016514173026,0.019756050686739118,0.8
2010-05-27,0.017494105794527072,0.1258016514173026,0.019756050686739118,0.8
2010-05-28,0.012056002364060044,0.08611457110890743,0.015597736509569318,0.8
2010-06-01,0.012056002364060044,0.08611457110890743,0.015597736509569318,0.8
2010-06-02,0.012056002364060044,0.08611457110890743,0.015597736509569318,0.8
2010-06-03,0.012056002364060044,0.08611457110890743,0.015597736509569318,0.8
2010-06-04,0.012056002364060044,0.08611457110890743,0.015597736509569318,0.8
2010-06-07,0.013525230464143983,0.0933246955111667,0.02350239135016501,0.8
2010-06-08,0.013525230464143983,0.0933246955111667,0.02350239135016501,0.8
2010-06-09,0.013525230464143983,0.0933246955111667,0.02350239135016501,0.8
2010-06-10,0.013525230464143983,0.0933246955111667,0.02350239135016501,0.8
2010-06-11,0.013525230464143983,0.0933246955111667,0.02350239135016501,0.8
2010-06-14,0.014878007815983257,0.10727013008634984,0.030022797476412812,0.8
2010-06-15,0.014878007815983257,0.10727013008634984,0.030022797476412812,0.8
2010-06-16,0.014878007815983257,0.10727013008634984,0.030022797476412812,0.8
2010-06-17,0.014878007815983257,0.10727013008634984,0.030022797476412812,0.8
2010-06-18,0.014878007815983257,0.10727013008634984,0.030022797476412812,0.8
2010-06-21,0.016835787518755283,0.11746391829450084,0.024765903549604444,0.8
2010-06-22,0.016835787518755283,0.11746391829450084,0.024765903549604444,0.8
2010-06-23,0.016835787518755283,0.11746391829450084,0.024765903549604444,0.8
2010-06-24,0.016835787518755283,0.11746391829450084,0.024765903549604444,0.8
2010-06-25,0.016835787518755283,0.11746391829450084,0.024765903549604444,0.8
2010-06-28,0.016286966750765755,0.09666428399764394,0.024794130386140555,0.8
2010-06-29,0.016286966750765755,0.09666428399764394,0.024794130386140555,0.8
2010-06-30,0.016286966750765755,0.09666428399764394,0.024794130386140555,0.8
2010-07-01,0.016286966750765755,0.09666428399764394,0.024794130386140555,0.8
2010-07-02,0.016286966750765755,0.09666428399764394,0.024794130386140555,0.8
2010-07-06,0.014861663487484949,0.08918168257994133,0.01982870985387379,0.8
2010-07-07,0.014861663487484949,0.08918168257994133,0.01982870985387379,0.8
2010-07-08,0.014861663487484949,0.08918168257994133,0.01982870985387379,0.8
2010-07-09,0.014861663487484949,0.08918168257994133,0.01982870985387379,0.8
2010-07-12,0.014861663487484949,0.08918168257994133,0.01982870985387379,0.8
2010-07-13,0.02104370917759875,0.09975231245975107,0.028209127539982146,0.8
2010-07-14,0.02104370917759875,0.09975231245975107,0.028209127539982146,0.8
2010-07-15,0.02104370917759875,0.09975231245975107,0.028209127539982146,0.8
2010-07-16,0.02104370917759875,0.09975231245975107,0.028209127539982146,0.8
2010-07-19,0.02104370917759875,0.09975231245975107,0.028209127539982146,0.8
2010-07-20,0.017061347866503596,0.07644698629975562,0.023541887880383174,0.8
2010-07-21,0.017061347866503596,0.07644698629975562,0.023541887880383174,0.8
2010-07-22,0.017061347866503596,0.07644698629975562,0.023541887880383174,0.8
2010-07-23,0.017061347866503596,0.07644698629975562,0.023541887880383174,0.8
2010-07-26,0.017061347866503596,0.07644698629975562,0.023541887880383174,0.8
2010-07-27,0.02088709540483655,0.10456842722508097,0.023847791784273587,0.8
2010-07-28,0.02088709540483655,0.10456842722508097,0.023847791784273587,0.8
2010-07-29,0.02088709540483655,0.10456842722508097,0.023847791784273587,0.8
2010-07-30,0.02088709540483655,0.10456842722508097,0.023847791784273587,0.8
2010-08-02,0.02088709540483655,0.10456842722508097,0.023847791784273587,0.8
2010-08-03,0.021067216484592192,0.09293477197810805,0.02960195386546148,0.8
2010-08-04,0.021067216484592192,0.09293477197810805,0.02960195386546148,0.8
2010-08-05,0.021067216484592192,0.09293477197810805,0.02960195386546148,0.8
2010-08-06,0.021067216484592192,0.09293477197810805,0.02960195386546148,0.8
2010-08-09,0.021067216484592192,0.09293477197810805,0.02960195386546148,0.8
2010-08-10,0.018506145283229868,0.08046056266563575,0.02083607808802377,0.8
2010-08-11,0.018506145283229868,0.08046056266563575,0.02083607808802377,0.8
2010-08-12,0.018506145283229868,0.08046056266563575,0.02083607808802377,0.8
2010-08-13,0.018506145283229868,0.08046056266563575,0.02083607808802377,0.8
2010-08-16,0.018506145283229868,0.08046056266563575,0.02083607808802377,0.8
2010-08-17,0.016040930107036073,0.09488161985507153,0.025844195691897713,0.8
2010-08-18,0.016040930107036073,0.09488161985507153,0.025844195691897713,0.8
2010-08-19,0.016040930107036073,0.09488161985507153,0.025844195691897713,0.8
2010-08-20,0.016040930107036073,0.09488161985507153,0.025844195691897713,0.8
2010-08-23,0.016040930107036073,0.09488161985507153,0.025844195691897713,0.8
2010-08-24,0.014802458737970106,0.11017263980228521,0.022851586301411337,0.8
2010-08-25,0.014802458737970106,0.11017263980228521,0.022851586301411337,0.8
2010-08-26,0.014802458737970106,0.11017263980228521,0.022851586301411337,0.8
2010-08-27,0.014802458737970106,0.11017263980228521,0.022851586301411337,0.8
2010-08-30,0.014802458737970106,0.11017263980228521,0.022851586301411337,0.8
2010-08-31,0.012166715944130912,0.0737841890325156,0.018995403024623787,0.8
2010-09-01,0.012166715944130912,0.0737841890325156,0.018995403024623787,0.8
2010-09-02,0.012166715944130912,0.0737841890325156,0.018995403024623787,0.8
2010-09-03,0.012166715944130912,0.0737841890325156,0.018995403024623787,0.8
2010-09-07,0.012166715944130912,0.0737841890325156,0.018995403024623787,0.8
2010-09-08,0.014936462881018327,0.08912649870666965,0.031092451104764534,0.8
2010-09-09,0.014936462881018327,0.08912649870666965,0.031092451104764534,0.8
2010-09-10,0.014936462881018327,0.08912649870666965,0.031092451104764534,0.8
2010-09-13,0.014936462881018327,0.08912649870666965,0.031092451104764534,0.8
2010-09-14,0.014936462881018327,0.08912649870666965,0.031092451104764534,0.8
2010-09-15,0.013416949858169665,0.06712033635072329,0.024510638003758748,0.8
2010-09-16,0.013416949858169665,0.06712033635072329,0.024510638003758748,0.8
2010-09-17,0.013416949858169665,0.06712033635072329,0.024510638003758748,0.8
2010-09-20,0.013416949858169665,0.06712033635072329,0.024510638003758748,0.8
2010-09-21,0.013416949858169665,0.06712033635072329,0.024510638003758748,0.8
2010-09-22,0.01470023302545842,0.07917301012302033,0.03021203373811087,0.8
2010-09-23,0.01470023302545842,0.07917301012302033,0.03021203373811087,0.8
2010-09-24,0.01470023302545842,0.07917301012302033,0.03021203373811087,0.8
2010-09-27,0.01470023302545842,0.07917301012302033,0.03021203373811087,0.8
2010-09-28,0.01470023302545842,0.07917301012302033,0.03021203373811087,0.8
2010-09-29,0.014362819709832374,0.07738579493328984,0.032225923511172865,0.8
2010-09-30,0.014362819709832374,0.07738579493328984,0.032225923511172865,0.8
2010-10-01,0.014362819709832374,0.07738579493328984,0.032225923511172865,0.8
2010-10-04,0.014362819709832374,0.07738579493328984,0.032225923511172865,0.8
2010-10-05,0.014362819709832374,0.07738579493328984,0.032225923511172865,0.8
2010-10-06,0.02048531053794726,0.06951612148785782,0.03277335651296286,0.8
2010-10-07,0.02048531053794726,0.06951612148785782,0.03277335651296286,0.8
2010-10-08,0.02048531053794726,0.06951612148785782,0.03277335651296286,0.8
2010-10-11,0.02048531053794726,0.06951612148785782,0.03277335651296286,0.8
2010-10-12,0.02048531053794726,0.06951612148785782,0.03277335651296286,0.8
2010-10-13,0.019849310984164762,0.06608385310792314,0.025216230296911245,0.8
2010-10-14,0.019849310984164762,0.06608385310792314,0.025216230296911245,0.8
2010-10-15,0.019849310984164762,0.06608385310792314,0.025216230296911245,0.8
2010-10-18,0.019849310984164762,0.06608385310792314,0.025216230296911245,0.8
2010-10-19,0.019849310984164762,0.06608385310792314,0.025216230296911245,0.8
2010-10-20,0.016900236029375557,0.053602327761261157,0.020373001513252897,0.8
2010-10-21,0.016900236029375557,0.053602327761261157,0.020373001513252897,0.8
2010-10-22,0.016900236029375557,0.053602327761261157,0.020373001513252897,0.8
2010-10-25,0.016900236029375557,0.053602327761261157,0.020373001513252897,0.8
2010-10-26,0.016900236029375557,0.053602327761261157,0.020373001513252897,0.8
2010-10-27,0.017287729132943665,0.050950190647897464,0.019881127591877334,0.8
2010-10-28,0.017287729132943665,0.050950190647897464,0.019881127591877334,0.8
2010-10-29,0.017287729132943665,0.050950190647897464,0.019881127591877334,0.8
2010-11-01,0.017287729132943665,0.050950190647897464,0.019881127591877334,0.8
2010-11-02,0.017287729132943665,0.050950190647897464,0.019881127591877334,0.8
2010-11-03,0.014339542239617137,0.06050966425583613,0.017356292630485503,0.8
2010-11-04,0.014339542239617137,0.06050966425583613,0.017356292630485503,0.8
2010-11-05,0.014339542239617137,0.06050966425583613,0.017356292630485503,0.8
2010-11-08,0.014339542239617137,0.06050966425583613,0.017356292630485503,0.8
2010-11-09,0.014339542239617137,0.06050966425583613,0.017356292630485503,0.8
2010-11-10,0.01852900287180477,0.06782665143828195,0.017321001026772323,0.8
2010-11-11,0.01852900287180477,0.06782665143828195,0.017321001026772323,0.8
2010-11-12,0.01852900287180477,0.06782665143828195,0.017321001026772323,0.8
2010-11-15,0.01852900287180477,0.06782665143828195,0.017321001026772323,0.8
2010-11-16,0.01852900287180477,0.06782665143828195,0.017321001026772323,0.8
2010-11-17,0.01902781458056264,0.08601061618098506,0.01659705298641329,0.8
2010-11-18,0.01902781458056264,0.08601061618098506,0.01659705298641329,0.8
2010-11-19,0.01902781458056264,0.08601061618098506,0.01659705298641329,0.8
2010-11-22,0.01902781458056264,0.08601061618098506,0.01659705298641329,0.8
2010-11-23,0.01902781458056264,0.08601061618098506,0.01659705298641329,0.8
2010-11-24,0.018324883298832455,0.07662366301463845,0.023831044699868992,0.8
2010-11-26,0.018324883298832455,0.07662366301463845,0.023831044699868992,0.8
2010-11-29,0.018324883298832455,0.07662366301463845,0.023831044699868992,0.8
2010-11-30,0.018324883298832455,0.07662366301463845,0.023831044699868992,0.8
2010-12-01,0.018324883298832455,0.07662366301463845,0.023831044699868992,0.8
2010-12-02,0.014168351724651536,0.055943945660254686,0.013108901445906788,0.8
2010-12-03,0.014168351724651536,0.055943945660254686,0.013108901445906788,0.8
2010-12-06,0.014168351724651536,0.055943945660254686,0.013108901445906788,0.8
2010-12-07,0.014168351724651536,0.055943945660254686,0.013108901445906788,0.8
2010-12-08,0.014168351724651536,0.055943945660254686,0.013108901445906788,0.8
2010-12-09,0.017897252213990737,0.06298601390345446,0.020773143947515265,0.8
2010-12-10,0.017897252213990737,0.06298601390345446,0.020773143947515265,0.8
2010-12-13,0.017897252213990737,0.06298601390345446,0.020773143947515265,0.8
2010-12-14,0.017897252213990737,0.06298601390345446,0.020773143947515265,0.8
2010-12-15,0.017897252213990737,0.06298601390345446,0.020773143947515265,0.8
2010-12-16,0.01937860107344389,0.050173600015874426,0.017739862129008317,0.8
2010-12-17,0.01937860107344389,0.050173600015874426,0.017739862129008317,0.8
2010-12-20,0.01937860107344389,0.050173600015874426,0.017739862129008317,0.8
2010-12-21,0.01937860107344389,0.050173600015874426,0.017739862129008317,0.8
2010-12-22,0.01937860107344389,0.050173600015874426,0.017739862129008317,0.8
2010-12-23,0.021723359789715208,0.051065987729205904,0.018713394735899263,0.8
2010-12-27,0.021723359789715208,0.051065987729205904,0.018713394735899263,0.8
2010-12-28,0.021723359789715208,0.051065987729205904,0.018713394735899263,0.8
2010-12-29,0.021723359789715208,0.051065987729205904,0.018713394735899263,0.8
2010-12-30,0.021723359789715208,0.051065987729205904,0.018713394735899263,0.8
2010-12-31,0.02148746876304435,0.0662923895421652,0.019033256609094756,0.8
2011-01-03,0.02148746876304435,0.0662923895421652,0.019033256609094756,0.8
2011-01-04,0.02148746876304435,0.0662923895421652,0.019033256609094756,0.8
2011-01-05,0.02148746876304435,0.0662923895421652,0.019033256609094756,0.8
2011-01-06,0.02148746876304435,0.0662923895421652,0.019033256609094756,0.8
2011-01-07,0.022245671913039285,0.06629030761184826,0.01817406401898841,0.8
2011-01-10,0.022245671913039285,0.06629030761184826,0.01817406401898841,0.8
2011-01-11,0.022245671913039285,0.06629030761184826,0.01817406401898841,0.8
