Date,_GSPC,IEF,GLD,BIL
2011-12-29,,,,
2011-12-30,,,,
2012-01-03,,,,
2012-01-04,,,,
2012-01-05,,,,
2012-01-06,,,,
2012-01-09,,,,
2012-01-10,,,,
2012-01-11,,,,
2012-01-12,,,,
2012-01-13,,,,
2012-01-17,,,,
2012-01-18,,,,
2012-01-19,,,,
2012-01-20,,,,
2012-01-23,,,,
2012-01-24,,,,
2012-01-25,,,,
2012-01-26,,,,
2012-01-27,,,,
2012-01-30,,,,
2012-01-31,,,,
2012-02-01,,,,
2012-02-02,,,,
2012-02-03,,,,
2012-02-06,,,,
2012-02-07,,,,
2012-02-08,,,,
2012-02-09,,,,
2012-02-10,,,,
2012-02-13,,,,
2012-02-14,,,,
2012-02-15,,,,
2012-02-16,,,,
2012-02-17,,,,
2012-02-21,,,,
2012-02-22,,,,
2012-02-23,,,,
2012-02-24,,,,
2012-02-27,,,,
2012-02-28,,,,
2012-02-29,,,,
2012-03-01,,,,
2012-03-02,,,,
2012-03-05,,,,
2012-03-06,,,,
2012-03-07,,,,
2012-03-08,,,,
2012-03-09,,,,
2012-03-12,,,,
2012-03-13,,,,
2012-03-14,,,,
2012-03-15,,,,
2012-03-16,,,,
2012-03-19,,,,
2012-03-20,,,,
2012-03-21,,,,
2012-03-22,,,,
2012-03-23,,,,
2012-03-26,,,,
2012-03-27,,,,
2012-03-28,,,,
2012-03-29,,,,
2012-03-30,,,,
2012-04-02,,,,
2012-04-03,,,,
2012-04-04,,,,
2012-04-05,,,,
2012-04-09,,,,
2012-04-10,,,,
2012-04-11,,,,
2012-04-12,,,,
2012-04-13,,,,
2012-04-16,,,,
2012-04-17,,,,
2012-04-18,,,,
2012-04-19,,,,
2012-04-20,,,,
2012-04-23,,,,
2012-04-24,,,,
2012-04-25,,,,
2012-04-26,,,,
2012-04-27,,,,
2012-04-30,,,,
2012-05-01,,,,
2012-05-02,,,,
2012-05-03,,,,
2012-05-04,,,,
2012-05-07,,,,
2012-05-08,,,,
2012-05-09,0.01619460176544091,0.04312472485662184,0.009611698642930992,0.9310689747350063
2012-05-10,0.01619460176544091,0.04312472485662184,0.009611698642930992,0.9310689747350063
2012-05-11,0.01619460176544091,0.04312472485662184,0.009611698642930992,0.9310689747350063
2012-05-14,0.01619460176544091,0.04312472485662184,0.009611698642930992,0.9310689747350063
2012-05-15,0.01619460176544091,0.04312472485662184,0.009611698642930992,0.9310689747350063
2012-05-16,0.015264782184501832,0.04132820274507616,0.0093659750051402,0.9340410400652819
2012-05-17,0.015264782184501832,0.04132820274507616,0.0093659750051402,0.9340410400652819
2012-05-18,0.015264782184501832,0.04132820274507616,0.0093659750051402,0.9340410400652819
2012-05-21,0.015264782184501832,0.04132820274507616,0.0093659750051402,0.9340410400652819
2012-05-22,0.015264782184501832,0.04132820274507616,0.0093659750051402,0.9340410400652819
2012-05-23,0.015137014207295896,0.04349503858177917,0.012501900831120107,0.928866046379805
2012-05-24,0.015137014207295896,0.04349503858177917,0.012501900831120107,0.928866046379805
2012-05-25,0.015137014207295896,0.04349503858177917,0.012501900831120107,0.928866046379805
2012-05-29,0.015137014207295896,0.04349503858177917,0.012501900831120107,0.928866046379805
2012-05-30,0.015137014207295896,0.04349503858177917,0.012501900831120107,0.928866046379805
2012-05-31,0.017602471517116285,0.05207902916412883,0.017239499407333346,0.9130789999114216
2012-06-01,0.017602471517116285,0.05207902916412883,0.017239499407333346,0.9130789999114216
2012-06-04,0.017602471517116285,0.05207902916412883,0.017239499407333346,0.9130789999114216
2012-06-05,0.017602471517116285,0.05207902916412883,0.017239499407333346,0.9130789999114216
2012-06-06,0.017602471517116285,0.05207902916412883,0.017239499407333346,0.9130789999114216
2012-06-07,0.010838928645870981,0.034119114045585514,0.008148364002329374,0.9468935933062141
2012-06-08,0.010838928645870981,0.034119114045585514,0.008148364002329374,0.9468935933062141
2012-06-11,0.010838928645870981,0.034119114045585514,0.008148364002329374,0.9468935933062141
2012-06-12,0.010838928645870981,0.034119114045585514,0.008148364002329374,0.9468935933062141
2012-06-13,0.010838928645870981,0.034119114045585514,0.008148364002329374,0.9468935933062141
2012-06-14,0.014109157149274177,0.045856330857750864,0.01581533711549985,0.9242191748774751
2012-06-15,0.014109157149274177,0.045856330857750864,0.01581533711549985,0.9242191748774751
2012-06-18,0.014109157149274177,0.045856330857750864,0.01581533711549985,0.9242191748774751
2012-06-19,0.014109157149274177,0.045856330857750864,0.01581533711549985,0.9242191748774751
2012-06-20,0.014109157149274177,0.045856330857750864,0.01581533711549985,0.9242191748774751
2012-06-21,0.012234938177526081,0.03499353320113044,0.011780362039301802,0.9409911665820417
2012-06-22,0.012234938177526081,0.03499353320113044,0.011780362039301802,0.9409911665820417
2012-06-25,0.012234938177526081,0.03499353320113044,0.011780362039301802,0.9409911665820417
2012-06-26,0.012234938177526081,0.03499353320113044,0.011780362039301802,0.9409911665820417
2012-06-27,0.012234938177526081,0.03499353320113044,0.011780362039301802,0.9409911665820417
2012-06-28,0.012630968317536687,0.03931137506602468,0.013175811238141426,0.9348818453782972
2012-06-29,0.012630968317536687,0.03931137506602468,0.013175811238141426,0.9348818453782972
2012-07-02,0.012630968317536687,0.03931137506602468,0.013175811238141426,0.9348818453782972
2012-07-03,0.012630968317536687,0.03931137506602468,0.013175811238141426,0.9348818453782972
2012-07-05,0.012630968317536687,0.03931137506602468,0.013175811238141426,0.9348818453782972
2012-07-06,0.012966374472934273,0.04912721531114396,0.01109524284530397,0.9268111673706179
2012-07-09,0.012966374472934273,0.04912721531114396,0.01109524284530397,0.9268111673706179
2012-07-10,0.012966374472934273,0.04912721531114396,0.01109524284530397,0.9268111673706179
2012-07-11,0.012966374472934273,0.04912721531114396,0.01109524284530397,0.9268111673706179
2012-07-12,0.012966374472934273,0.04912721531114396,0.01109524284530397,0.9268111673706179
2012-07-13,0.012690747876163677,0.04771584736047314,0.010713766211686168,0.9288796385516771
2012-07-16,0.012690747876163677,0.04771584736047314,0.010713766211686168,0.9288796385516771
