Date,_GSPC,IEF,GLD,BIL
2012-12-28,,,,
2012-12-31,,,,
2013-01-02,,,,
2013-01-03,,,,
2013-01-04,,,,
2013-01-07,,,,
2013-01-08,,,,
2013-01-09,,,,
2013-01-10,,,,
2013-01-11,,,,
2013-01-14,,,,
2013-01-15,,,,
2013-01-16,,,,
2013-01-17,,,,
2013-01-18,,,,
2013-01-22,,,,
2013-01-23,,,,
2013-01-24,,,,
2013-01-25,,,,
2013-01-28,,,,
2013-01-29,,,,
2013-01-30,,,,
2013-01-31,,,,
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,,,,
2013-04-30,,,,
2013-05-01,,,,
2013-05-02,,,,
2013-05-03,,,,
2013-05-06,,,,
2013-05-07,,,,
2013-05-08,,,,
2013-05-09,0.019608646126021576,0.07387456310767594,0.012009876439422649,0.8945069143268798
2013-05-10,0.019608646126021576,0.07387456310767594,0.012009876439422649,0.8945069143268798
2013-05-13,0.019608646126021576,0.07387456310767594,0.012009876439422649,0.8945069143268798
2013-05-14,0.019608646126021576,0.07387456310767594,0.012009876439422649,0.8945069143268798
2013-05-15,0.019608646126021576,0.07387456310767594,0.012009876439422649,0.8945069143268798
2013-05-16,0.018578255801936002,0.043871020382757274,0.013823099389727598,0.9237276244255791
2013-05-17,0.018578255801936002,0.043871020382757274,0.013823099389727598,0.9237276244255791
2013-05-20,0.018578255801936002,0.043871020382757274,0.013823099389727598,0.9237276244255791
2013-05-21,0.018578255801936002,0.043871020382757274,0.013823099389727598,0.9237276244255791
2013-05-22,0.018578255801936002,0.043871020382757274,0.013823099389727598,0.9237276244255791
2013-05-23,0.02954191116456403,0.06205729182572004,0.017409911463832046,0.8909908855458838
2013-05-24,0.02954191116456403,0.06205729182572004,0.017409911463832046,0.8909908855458838
2013-05-28,0.02954191116456403,0.06205729182572004,0.017409911463832046,0.8909908855458838
2013-05-29,0.02954191116456403,0.06205729182572004,0.017409911463832046,0.8909908855458838
2013-05-30,0.02954191116456403,0.06205729182572004,0.017409911463832046,0.8909908855458838
2013-05-31,0.03781858704265855,0.04724621011941961,0.017766074373917504,0.8971691284640043
2013-06-03,0.03781858704265855,0.04724621011941961,0.017766074373917504,0.8971691284640043
2013-06-04,0.03781858704265855,0.04724621011941961,0.017766074373917504,0.8971691284640043
2013-06-05,0.03781858704265855,0.04724621011941961,0.017766074373917504,0.8971691284640043
2013-06-06,0.03781858704265855,0.04724621011941961,0.017766074373917504,0.8971691284640043
2013-06-07,0.03385371322450351,0.04796822924449862,0.017417849200777002,0.9007602083302209
2013-06-10,0.03385371322450351,0.04796822924449862,0.017417849200777002,0.9007602083302209
2013-06-11,0.03385371322450351,0.04796822924449862,0.017417849200777002,0.9007602083302209
2013-06-12,0.03385371322450351,0.04796822924449862,0.017417849200777002,0.9007602083302209
2013-06-13,0.03385371322450351,0.04796822924449862,0.017417849200777002,0.9007602083302209
2013-06-14,0.023921482692036988,0.047846672070555235,0.018336851755134838,0.9098949934822729
2013-06-17,0.023921482692036988,0.047846672070555235,0.018336851755134838,0.9098949934822729
2013-06-18,0.023921482692036988,0.047846672070555235,0.018336851755134838,0.9098949934822729
2013-06-19,0.023921482692036988,0.047846672070555235,0.018336851755134838,0.9098949934822729
2013-06-20,0.023921482692036988,0.047846672070555235,0.018336851755134838,0.9098949934822729
2013-06-21,0.019854135689858405,0.04183438959526938,0.011127661955912997,0.9271838127589591
2013-06-24,0.019854135689858405,0.04183438959526938,0.011127661955912997,0.9271838127589591
2013-06-25,0.019854135689858405,0.04183438959526938,0.011127661955912997,0.9271838127589591
2013-06-26,0.019854135689858405,0.04183438959526938,0.011127661955912997,0.9271838127589591
2013-06-27,0.019854135689858405,0.04183438959526938,0.011127661955912997,0.9271838127589591
2013-06-28,0.027457734228616273,0.05433846744557639,0.01017151748170706,0.9080322808441003
2013-07-01,0.027457734228616273,0.05433846744557639,0.01017151748170706,0.9080322808441003
2013-07-02,0.027457734228616273,0.05433846744557639,0.01017151748170706,0.9080322808441003
2013-07-03,0.027457734228616273,0.05433846744557639,0.01017151748170706,0.9080322808441003
2013-07-05,0.027457734228616273,0.05433846744557639,0.01017151748170706,0.9080322808441003
2013-07-08,0.022445761568701754,0.02514678294569446,0.007608002161531756,0.9447994533240721
2013-07-09,0.022445761568701754,0.02514678294569446,0.007608002161531756,0.9447994533240721
2013-07-10,0.022445761568701754,0.02514678294569446,0.007608002161531756,0.9447994533240721
2013-07-11,0.022445761568701754,0.02514678294569446,0.007608002161531756,0.9447994533240721
2013-07-12,0.022445761568701754,0.02514678294569446,0.007608002161531756,0.9447994533240721
2013-07-15,0.01923551480586262,0.030619231665583772,0.00967319448237455,0.9404720590461791
2013-07-16,0.01923551480586262,0.030619231665583772,0.00967319448237455,0.9404720590461791
2013-07-17,0.01923551480586262,0.030619231665583772,0.00967319448237455,0.9404720590461791
2013-07-18,0.01923551480586262,0.030619231665583772,0.00967319448237455,0.9404720590461791
2013-07-19,0.01923551480586262,0.030619231665583772,0.00967319448237455,0.9404720590461791
2013-07-22,0.023154886083841027,0.03748202162797094,0.011770690870954009,0.927592401417234
2013-07-23,0.023154886083841027,0.03748202162797094,0.011770690870954009,0.927592401417234
2013-07-24,0.023154886083841027,0.03748202162797094,0.011770690870954009,0.927592401417234
2013-07-25,0.023154886083841027,0.03748202162797094,0.011770690870954009,0.927592401417234
2013-07-26,0.023154886083841027,0.03748202162797094,0.011770690870954009,0.927592401417234
2013-07-29,0.02876036166743752,0.04773410127416881,0.01705268195758328,0.9064528551008104
2013-07-30,0.02876036166743752,0.04773410127416881,0.01705268195758328,0.9064528551008104
2013-07-31,0.02876036166743752,0.04773410127416881,0.01705268195758328,0.9064528551008104
2013-08-01,0.02876036166743752,0.04773410127416881,0.01705268195758328,0.9064528551008104
2013-08-02,0.02876036166743752,0.04773410127416881,0.01705268195758328,0.9064528551008104
2013-08-05,0.02270525163738105,0.03956004309034548,0.015275368773602698,0.9224593364986708
2013-08-06,0.02270525163738105,0.03956004309034548,0.015275368773602698,0.9224593364986708
2013-08-07,0.02270525163738105,0.03956004309034548,0.015275368773602698,0.9224593364986708
2013-08-08,0.02270525163738105,0.03956004309034548,0.015275368773602698,0.9224593364986708
2013-08-09,0.02270525163738105,0.03956004309034548,0.015275368773602698,0.9224593364986708
2013-08-12,0.03041142371916097,0.052239039027462617,0.015561872558071805,0.9017876646953046
2013-08-13,0.03041142371916097,0.052239039027462617,0.015561872558071805,0.9017876646953046
2013-08-14,0.03041142371916097,0.052239039027462617,0.015561872558071805,0.9017876646953046
2013-08-15,0.03041142371916097,0.052239039027462617,0.015561872558071805,0.9017876646953046
