Date,_GSPC,IEF,GLD,BIL
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,0.014486792976479267,0.06084696823089072,0.0158325413564291,0.9088336974362008
2010-05-17,0.014486792976479267,0.06084696823089072,0.0158325413564291,0.9088336974362008
2010-05-18,0.014486792976479267,0.06084696823089072,0.0158325413564291,0.9088336974362008
2010-05-19,0.014486792976479267,0.06084696823089072,0.0158325413564291,0.9088336974362008
2010-05-20,0.014486792976479267,0.06084696823089072,0.0158325413564291,0.9088336974362008
2010-05-21,0.011513546574735216,0.049093056589990414,0.012764555529512752,0.9266288413057616
2010-05-24,0.011513546574735216,0.049093056589990414,0.012764555529512752,0.9266288413057616
2010-05-25,0.011513546574735216,0.049093056589990414,0.012764555529512752,0.9266288413057616
2010-05-26,0.011513546574735216,0.049093056589990414,0.012764555529512752,0.9266288413057616
2010-05-27,0.011513546574735216,0.049093056589990414,0.012764555529512752,0.9266288413057616
2010-05-28,0.011367242330518376,0.04826104836183229,0.013804788551295698,0.9265669207563537
2010-06-01,0.011367242330518376,0.04826104836183229,0.013804788551295698,0.9265669207563537
2010-06-02,0.011367242330518376,0.04826104836183229,0.013804788551295698,0.9265669207563537
2010-06-03,0.011367242330518376,0.04826104836183229,0.013804788551295698,0.9265669207563537
2010-06-04,0.011367242330518376,0.04826104836183229,0.013804788551295698,0.9265669207563537
2010-06-07,0.01236375629030623,0.052840578559963255,0.01856322593880853,0.916232439210922
2010-06-08,0.01236375629030623,0.052840578559963255,0.01856322593880853,0.916232439210922
2010-06-09,0.01236375629030623,0.052840578559963255,0.01856322593880853,0.916232439210922
2010-06-10,0.01236375629030623,0.052840578559963255,0.01856322593880853,0.916232439210922
2010-06-11,0.01236375629030623,0.052840578559963255,0.01856322593880853,0.916232439210922
2010-06-14,0.014132673916327436,0.06002983191816448,0.027916462533518586,0.8979210316319896
2010-06-15,0.014132673916327436,0.06002983191816448,0.027916462533518586,0.8979210316319896
2010-06-16,0.014132673916327436,0.06002983191816448,0.027916462533518586,0.8979210316319896
2010-06-17,0.014132673916327436,0.06002983191816448,0.027916462533518586,0.8979210316319896
2010-06-18,0.014132673916327436,0.06002983191816448,0.027916462533518586,0.8979210316319896
2010-06-21,0.014367224647938832,0.05957586079229737,0.022332071926135736,0.9037248426336281
2010-06-22,0.014367224647938832,0.05957586079229737,0.022332071926135736,0.9037248426336281
2010-06-23,0.014367224647938832,0.05957586079229737,0.022332071926135736,0.9037248426336281
2010-06-24,0.014367224647938832,0.05957586079229737,0.022332071926135736,0.9037248426336281
2010-06-25,0.014367224647938832,0.05957586079229737,0.022332071926135736,0.9037248426336281
2010-06-28,0.016700310956476606,0.05300193669031857,0.022605711767887407,0.9076920405853173
2010-06-29,0.016700310956476606,0.05300193669031857,0.022605711767887407,0.9076920405853173
2010-06-30,0.016700310956476606,0.05300193669031857,0.022605711767887407,0.9076920405853173
2010-07-01,0.016700310956476606,0.05300193669031857,0.022605711767887407,0.9076920405853173
2010-07-02,0.016700310956476606,0.05300193669031857,0.022605711767887407,0.9076920405853173
2010-07-06,0.014556729097034178,0.04649053810053012,0.017044207762138244,0.9219085250402975
2010-07-07,0.014556729097034178,0.04649053810053012,0.017044207762138244,0.9219085250402975
2010-07-08,0.014556729097034178,0.04649053810053012,0.017044207762138244,0.9219085250402975
2010-07-09,0.014556729097034178,0.04649053810053012,0.017044207762138244,0.9219085250402975
2010-07-12,0.014556729097034178,0.04649053810053012,0.017044207762138244,0.9219085250402975
2010-07-13,0.020082186867644097,0.04743007491426433,0.023958509758148037,0.9085292284599435
2010-07-14,0.020082186867644097,0.04743007491426433,0.023958509758148037,0.9085292284599435
2010-07-15,0.020082186867644097,0.04743007491426433,0.023958509758148037,0.9085292284599435
2010-07-16,0.020082186867644097,0.04743007491426433,0.023958509758148037,0.9085292284599435
2010-07-19,0.020082186867644097,0.04743007491426433,0.023958509758148037,0.9085292284599435
2010-07-20,0.018168820702358205,0.04138891410481167,0.02021254481006039,0.9202297203827698
2010-07-21,0.018168820702358205,0.04138891410481167,0.02021254481006039,0.9202297203827698
2010-07-22,0.018168820702358205,0.04138891410481167,0.02021254481006039,0.9202297203827698
2010-07-23,0.018168820702358205,0.04138891410481167,0.02021254481006039,0.9202297203827698
2010-07-26,0.018168820702358205,0.04138891410481167,0.02021254481006039,0.9202297203827698
2010-07-27,0.01976993048684269,0.057569929063525045,0.01975293067734135,0.9029072097722909
2010-07-28,0.01976993048684269,0.057569929063525045,0.01975293067734135,0.9029072097722909
2010-07-29,0.01976993048684269,0.057569929063525045,0.01975293067734135,0.9029072097722909
2010-07-30,0.01976993048684269,0.057569929063525045,0.01975293067734135,0.9029072097722909
2010-08-02,0.01976993048684269,0.057569929063525045,0.01975293067734135,0.9029072097722909
2010-08-03,0.02016496588978034,0.0447132288607805,0.025294080905519302,0.9098277243439198
2010-08-04,0.02016496588978034,0.0447132288607805,0.025294080905519302,0.9098277243439198
2010-08-05,0.02016496588978034,0.0447132288607805,0.025294080905519302,0.9098277243439198
2010-08-06,0.02016496588978034,0.0447132288607805,0.025294080905519302,0.9098277243439198
2010-08-09,0.02016496588978034,0.0447132288607805,0.025294080905519302,0.9098277243439198
2010-08-10,0.0173890267507543,0.03765083010632518,0.01693568584975426,0.9280244572931662
2010-08-11,0.0173890267507543,0.03765083010632518,0.01693568584975426,0.9280244572931662
2010-08-12,0.0173890267507543,0.03765083010632518,0.01693568584975426,0.9280244572931662
2010-08-13,0.0173890267507543,0.03765083010632518,0.01693568584975426,0.9280244572931662
2010-08-16,0.0173890267507543,0.03765083010632518,0.01693568584975426,0.9280244572931662
2010-08-17,0.013522757248910073,0.055160253198428336,0.025205489427153834,0.9061115001255078
2010-08-18,0.013522757248910073,0.055160253198428336,0.025205489427153834,0.9061115001255078
2010-08-19,0.013522757248910073,0.055160253198428336,0.025205489427153834,0.9061115001255078
2010-08-20,0.013522757248910073,0.055160253198428336,0.025205489427153834,0.9061115001255078
2010-08-23,0.013522757248910073,0.055160253198428336,0.025205489427153834,0.9061115001255078
2010-08-24,0.01417669974006417,0.05792676688895461,0.027521068992548983,0.9003754643784323
2010-08-25,0.01417669974006417,0.05792676688895461,0.027521068992548983,0.9003754643784323
2010-08-26,0.01417669974006417,0.05792676688895461,0.027521068992548983,0.9003754643784323
2010-08-27,0.01417669974006417,0.05792676688895461,0.027521068992548983,0.9003754643784323
2010-08-30,0.01417669974006417,0.05792676688895461,0.027521068992548983,0.9003754643784323
2010-08-31,0.010980822738267308,0.03854251432848712,0.015620980360413003,0.9348556825728326
2010-09-01,0.010980822738267308,0.03854251432848712,0.015620980360413003,0.9348556825728326
2010-09-02,0.010980822738267308,0.03854251432848712,0.015620980360413003,0.9348556825728326
2010-09-03,0.010980822738267308,0.03854251432848712,0.015620980360413003,0.9348556825728326
2010-09-07,0.010980822738267308,0.03854251432848712,0.015620980360413003,0.9348556825728326
2010-09-08,0.013757775124543205,0.04855494404015857,0.030445228199105324,0.907242052636193
2010-09-09,0.013757775124543205,0.04855494404015857,0.030445228199105324,0.907242052636193
2010-09-10,0.013757775124543205,0.04855494404015857,0.030445228199105324,0.907242052636193
2010-09-13,0.013757775124543205,0.04855494404015857,0.030445228199105324,0.907242052636193
2010-09-14,0.013757775124543205,0.04855494404015857,0.030445228199105324,0.907242052636193
2010-09-15,0.011576290749094269,0.0341343373397239,0.021023227686553663,0.9332661442246281
2010-09-16,0.011576290749094269,0.0341343373397239,0.021023227686553663,0.9332661442246281
2010-09-17,0.011576290749094269,0.0341343373397239,0.021023227686553663,0.9332661442246281
2010-09-20,0.011576290749094269,0.0341343373397239,0.021023227686553663,0.9332661442246281
2010-09-21,0.011576290749094269,0.0341343373397239,0.021023227686553663,0.9332661442246281
2010-09-22,0.013750213478912572,0.043252258989138585,0.027391499381326193,0.9156060281506226
2010-09-23,0.013750213478912572,0.043252258989138585,0.027391499381326193,0.9156060281506226
2010-09-24,0.013750213478912572,0.043252258989138585,0.027391499381326193,0.9156060281506226
2010-09-27,0.013750213478912572,0.043252258989138585,0.027391499381326193,0.9156060281506226
2010-09-28,0.013750213478912572,0.043252258989138585,0.027391499381326193,0.9156060281506226
2010-09-29,0.01390451023559551,0.04451411724223508,0.02945536121850761,0.9121260113036618
2010-09-30,0.01390451023559551,0.04451411724223508,0.02945536121850761,0.9121260113036618
2010-10-01,0.01390451023559551,0.04451411724223508,0.02945536121850761,0.9121260113036618
2010-10-04,0.01390451023559551,0.04451411724223508,0.02945536121850761,0.9121260113036618
2010-10-05,0.01390451023559551,0.04451411724223508,0.02945536121850761,0.9121260113036618
2010-10-06,0.019678604853688008,0.032976508533342754,0.027875336070970553,0.9194695505419986
2010-10-07,0.019678604853688008,0.032976508533342754,0.027875336070970553,0.9194695505419986
2010-10-08,0.019678604853688008,0.032976508533342754,0.027875336070970553,0.9194695505419986
2010-10-11,0.019678604853688008,0.032976508533342754,0.027875336070970553,0.9194695505419986
2010-10-12,0.019678604853688008,0.032976508533342754,0.027875336070970553,0.9194695505419986
2010-10-13,0.01908721375470869,0.031708005938038825,0.021717584978774924,0.9274871953284776
2010-10-14,0.01908721375470869,0.031708005938038825,0.021717584978774924,0.9274871953284776
2010-10-15,0.01908721375470869,0.031708005938038825,0.021717584978774924,0.9274871953284776
2010-10-18,0.01908721375470869,0.031708005938038825,0.021717584978774924,0.9274871953284776
2010-10-19,0.01908721375470869,0.031708005938038825,0.021717584978774924,0.9274871953284776
2010-10-20,0.016284762699665438,0.030009085739714163,0.017681940326785026,0.9360242112338354
2010-10-21,0.016284762699665438,0.030009085739714163,0.017681940326785026,0.9360242112338354
2010-10-22,0.016284762699665438,0.030009085739714163,0.017681940326785026,0.9360242112338354
2010-10-25,0.016284762699665438,0.030009085739714163,0.017681940326785026,0.9360242112338354
2010-10-26,0.016284762699665438,0.030009085739714163,0.017681940326785026,0.9360242112338354
2010-10-27,0.015209100148045824,0.026524365850062282,0.01424561853703655,0.9440209154648553
2010-10-28,0.015209100148045824,0.026524365850062282,0.01424561853703655,0.9440209154648553
2010-10-29,0.015209100148045824,0.026524365850062282,0.01424561853703655,0.9440209154648553
2010-11-01,0.015209100148045824,0.026524365850062282,0.01424561853703655,0.9440209154648553
2010-11-02,0.015209100148045824,0.026524365850062282,0.01424561853703655,0.9440209154648553
2010-11-03,0.013265305396498847,0.03148528582096951,0.015637114722904345,0.9396122940596272
2010-11-04,0.013265305396498847,0.03148528582096951,0.015637114722904345,0.9396122940596272
2010-11-05,0.013265305396498847,0.03148528582096951,0.015637114722904345,0.9396122940596272
2010-11-08,0.013265305396498847,0.03148528582096951,0.015637114722904345,0.9396122940596272
2010-11-09,0.013265305396498847,0.03148528582096951,0.015637114722904345,0.9396122940596272
2010-11-10,0.01856738718396287,0.0359066380732342,0.015441806263353794,0.9300841684794492
2010-11-11,0.01856738718396287,0.0359066380732342,0.015441806263353794,0.9300841684794492
2010-11-12,0.01856738718396287,0.0359066380732342,0.015441806263353794,0.9300841684794492
2010-11-15,0.01856738718396287,0.0359066380732342,0.015441806263353794,0.9300841684794492
2010-11-16,0.01856738718396287,0.0359066380732342,0.015441806263353794,0.9300841684794492
2010-11-17,0.019880130972049544,0.045779591551779165,0.01841436820760203,0.9159259092685693
2010-11-18,0.019880130972049544,0.045779591551779165,0.01841436820760203,0.9159259092685693
2010-11-19,0.019880130972049544,0.045779591551779165,0.01841436820760203,0.9159259092685693
2010-11-22,0.019880130972049544,0.045779591551779165,0.01841436820760203,0.9159259092685693
2010-11-23,0.019880130972049544,0.045779591551779165,0.01841436820760203,0.9159259092685693
2010-11-24,0.017483382635878047,0.044981585799414844,0.020063164554567605,0.9174718670101396
2010-11-26,0.017483382635878047,0.044981585799414844,0.020063164554567605,0.9174718670101396
2010-11-29,0.017483382635878047,0.044981585799414844,0.020063164554567605,0.9174718670101396
2010-11-30,0.017483382635878047,0.044981585799414844,0.020063164554567605,0.9174718670101396
2010-12-01,0.017483382635878047,0.044981585799414844,0.020063164554567605,0.9174718670101396
2010-12-02,0.012531371291993845,0.029559440433543496,0.010976809480127907,0.9469323787943348
2010-12-03,0.012531371291993845,0.029559440433543496,0.010976809480127907,0.9469323787943348
2010-12-06,0.012531371291993845,0.029559440433543496,0.010976809480127907,0.9469323787943348
2010-12-07,0.012531371291993845,0.029559440433543496,0.010976809480127907,0.9469323787943348
2010-12-08,0.012531371291993845,0.029559440433543496,0.010976809480127907,0.9469323787943348
2010-12-09,0.017131726014846468,0.03535965741660437,0.019584804192209128,0.9279238123763401
2010-12-10,0.017131726014846468,0.03535965741660437,0.019584804192209128,0.9279238123763401
2010-12-13,0.017131726014846468,0.03535965741660437,0.019584804192209128,0.9279238123763401
2010-12-14,0.017131726014846468,0.03535965741660437,0.019584804192209128,0.9279238123763401
