Date,_GSPC,IEF,GLD,BIL
2012-12-28,,,,
2012-12-31,,,,
2013-01-02,,,,
2013-01-03,,,,
2013-01-04,,,,
2013-01-07,,,,
2013-01-08,,,,
2013-01-09,,,,
2013-01-10,,,,
2013-01-11,,,,
2013-01-14,,,,
2013-01-15,,,,
2013-01-16,,,,
2013-01-17,,,,
2013-01-18,,,,
2013-01-22,,,,
2013-01-23,,,,
2013-01-24,,,,
2013-01-25,,,,
2013-01-28,,,,
2013-01-29,,,,
2013-01-30,,,,
2013-01-31,,,,
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,,,,
2013-04-30,,,,
2013-05-01,,,,
2013-05-02,,,,
2013-05-03,,,,
2013-05-06,,,,
2013-05-07,,,,
2013-05-08,,,,
2013-05-09,0.024108584320376707,0.06072382356544394,0.012939261544569714,0.9022283305696096
2013-05-10,0.024108584320376707,0.06072382356544394,0.012939261544569714,0.9022283305696096
2013-05-13,0.024108584320376707,0.06072382356544394,0.012939261544569714,0.9022283305696096
2013-05-14,0.024108584320376707,0.06072382356544394,0.012939261544569714,0.9022283305696096
2013-05-15,0.024108584320376707,0.06072382356544394,0.012939261544569714,0.9022283305696096
2013-05-16,0.024980362686951262,0.059255141868873824,0.01308054110899512,0.9026839543351799
2013-05-17,0.024980362686951262,0.059255141868873824,0.01308054110899512,0.9026839543351799
2013-05-20,0.024980362686951262,0.059255141868873824,0.01308054110899512,0.9026839543351799
2013-05-21,0.024980362686951262,0.059255141868873824,0.01308054110899512,0.9026839543351799
2013-05-22,0.024980362686951262,0.059255141868873824,0.01308054110899512,0.9026839543351799
2013-05-23,0.026018631635255675,0.05408029655360935,0.012477571620972855,0.907423500190162
2013-05-24,0.026018631635255675,0.05408029655360935,0.012477571620972855,0.907423500190162
2013-05-28,0.026018631635255675,0.05408029655360935,0.012477571620972855,0.907423500190162
2013-05-29,0.026018631635255675,0.05408029655360935,0.012477571620972855,0.907423500190162
2013-05-30,0.026018631635255675,0.05408029655360935,0.012477571620972855,0.907423500190162
2013-05-31,0.027476623854359547,0.04907090408292037,0.012919787535327047,0.9105326845273931
2013-06-03,0.027476623854359547,0.04907090408292037,0.012919787535327047,0.9105326845273931
2013-06-04,0.027476623854359547,0.04907090408292037,0.012919787535327047,0.9105326845273931
2013-06-05,0.027476623854359547,0.04907090408292037,0.012919787535327047,0.9105326845273931
2013-06-06,0.027476623854359547,0.04907090408292037,0.012919787535327047,0.9105326845273931
2013-06-07,0.02469098710487071,0.04969312009858916,0.012786876068150948,0.9128290167283892
2013-06-10,0.02469098710487071,0.04969312009858916,0.012786876068150948,0.9128290167283892
2013-06-11,0.02469098710487071,0.04969312009858916,0.012786876068150948,0.9128290167283892
2013-06-12,0.02469098710487071,0.04969312009858916,0.012786876068150948,0.9128290167283892
2013-06-13,0.02469098710487071,0.04969312009858916,0.012786876068150948,0.9128290167283892
2013-06-14,0.024214953579729425,0.04848867065403373,0.013837321599905222,0.9134590541663314
2013-06-17,0.024214953579729425,0.04848867065403373,0.013837321599905222,0.9134590541663314
2013-06-18,0.024214953579729425,0.04848867065403373,0.013837321599905222,0.9134590541663314
2013-06-19,0.024214953579729425,0.04848867065403373,0.013837321599905222,0.9134590541663314
2013-06-20,0.024214953579729425,0.04848867065403373,0.013837321599905222,0.9134590541663314
2013-06-21,0.020436288315337458,0.04192142284348552,0.01144069274017192,0.926201596101005
2013-06-24,0.020436288315337458,0.04192142284348552,0.01144069274017192,0.926201596101005
2013-06-25,0.020436288315337458,0.04192142284348552,0.01144069274017192,0.926201596101005
2013-06-26,0.020436288315337458,0.04192142284348552,0.01144069274017192,0.926201596101005
2013-06-27,0.020436288315337458,0.04192142284348552,0.01144069274017192,0.926201596101005
2013-06-28,0.020237848129288583,0.039561490832415176,0.01060988021519551,0.9295907808231005
2013-07-01,0.020237848129288583,0.039561490832415176,0.01060988021519551,0.9295907808231005
2013-07-02,0.020237848129288583,0.039561490832415176,0.01060988021519551,0.9295907808231005
2013-07-03,0.020237848129288583,0.039561490832415176,0.01060988021519551,0.9295907808231005
2013-07-05,0.020237848129288583,0.039561490832415176,0.01060988021519551,0.9295907808231005
2013-07-08,0.02145212018865396,0.0350267595679127,0.010718253792057762,0.9328028664513754
2013-07-09,0.02145212018865396,0.0350267595679127,0.010718253792057762,0.9328028664513754
2013-07-10,0.02145212018865396,0.0350267595679127,0.010718253792057762,0.9328028664513754
2013-07-11,0.02145212018865396,0.0350267595679127,0.010718253792057762,0.9328028664513754
2013-07-12,0.02145212018865396,0.0350267595679127,0.010718253792057762,0.9328028664513754
2013-07-15,0.022350382167587394,0.035634531755737546,0.011242276161405695,0.9307728099152692
2013-07-16,0.022350382167587394,0.035634531755737546,0.011242276161405695,0.9307728099152692
2013-07-17,0.022350382167587394,0.035634531755737546,0.011242276161405695,0.9307728099152692
2013-07-18,0.022350382167587394,0.035634531755737546,0.011242276161405695,0.9307728099152692
2013-07-19,0.022350382167587394,0.035634531755737546,0.011242276161405695,0.9307728099152692
2013-07-22,0.02269535421684574,0.03494665190802781,0.01137338065550935,0.9309846132196171
2013-07-23,0.02269535421684574,0.03494665190802781,0.01137338065550935,0.9309846132196171
2013-07-24,0.02269535421684574,0.03494665190802781,0.01137338065550935,0.9309846132196171
2013-07-25,0.02269535421684574,0.03494665190802781,0.01137338065550935,0.9309846132196171
2013-07-26,0.02269535421684574,0.03494665190802781,0.01137338065550935,0.9309846132196171
2013-07-29,0.026066239039728756,0.03924024817422196,0.012221220098423566,0.9224722926876257
2013-07-30,0.026066239039728756,0.03924024817422196,0.012221220098423566,0.9224722926876257
2013-07-31,0.026066239039728756,0.03924024817422196,0.012221220098423566,0.9224722926876257
2013-08-01,0.026066239039728756,0.03924024817422196,0.012221220098423566,0.9224722926876257
2013-08-02,0.026066239039728756,0.03924024817422196,0.012221220098423566,0.9224722926876257
2013-08-05,0.02737783356266206,0.038992833537530254,0.013286746316130376,0.9203425865836774
2013-08-06,0.02737783356266206,0.038992833537530254,0.013286746316130376,0.9203425865836774
2013-08-07,0.02737783356266206,0.038992833537530254,0.013286746316130376,0.9203425865836774
2013-08-08,0.02737783356266206,0.038992833537530254,0.013286746316130376,0.9203425865836774
2013-08-09,0.02737783356266206,0.038992833537530254,0.013286746316130376,0.9203425865836774
2013-08-12,0.027481853693399765,0.039264435629446405,0.012962307117051873,0.920291403560102
2013-08-13,0.027481853693399765,0.039264435629446405,0.012962307117051873,0.920291403560102
2013-08-14,0.027481853693399765,0.039264435629446405,0.012962307117051873,0.920291403560102
2013-08-15,0.027481853693399765,0.039264435629446405,0.012962307117051873,0.920291403560102
