Date,_GSPC,IEF,GLD,BIL
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,0.01839079057246574,0.05158663713699721,0.01836291114181529,0.9116596611487217
2010-05-17,0.01839079057246574,0.05158663713699721,0.01836291114181529,0.9116596611487217
2010-05-18,0.01839079057246574,0.05158663713699721,0.01836291114181529,0.9116596611487217
2010-05-19,0.01839079057246574,0.05158663713699721,0.01836291114181529,0.9116596611487217
2010-05-20,0.01839079057246574,0.05158663713699721,0.01836291114181529,0.9116596611487217
2010-05-21,0.01585067737036234,0.04670829736602499,0.018108065843541774,0.9193329594200709
2010-05-24,0.01585067737036234,0.04670829736602499,0.018108065843541774,0.9193329594200709
2010-05-25,0.01585067737036234,0.04670829736602499,0.018108065843541774,0.9193329594200709
2010-05-26,0.01585067737036234,0.04670829736602499,0.018108065843541774,0.9193329594200709
2010-05-27,0.01585067737036234,0.04670829736602499,0.018108065843541774,0.9193329594200709
2010-05-28,0.015360586407602106,0.04742528618727748,0.019282952954411712,0.9179311744507086
2010-06-01,0.015360586407602106,0.04742528618727748,0.019282952954411712,0.9179311744507086
2010-06-02,0.015360586407602106,0.04742528618727748,0.019282952954411712,0.9179311744507086
2010-06-03,0.015360586407602106,0.04742528618727748,0.019282952954411712,0.9179311744507086
2010-06-04,0.015360586407602106,0.04742528618727748,0.019282952954411712,0.9179311744507086
2010-06-07,0.0152674222323598,0.047302323418920766,0.021718192889755045,0.9157120614589644
2010-06-08,0.0152674222323598,0.047302323418920766,0.021718192889755045,0.9157120614589644
2010-06-09,0.0152674222323598,0.047302323418920766,0.021718192889755045,0.9157120614589644
2010-06-10,0.0152674222323598,0.047302323418920766,0.021718192889755045,0.9157120614589644
2010-06-11,0.0152674222323598,0.047302323418920766,0.021718192889755045,0.9157120614589644
2010-06-14,0.014733903798742998,0.04470963039338282,0.020814082167831337,0.9197423836400429
2010-06-15,0.014733903798742998,0.04470963039338282,0.020814082167831337,0.9197423836400429
2010-06-16,0.014733903798742998,0.04470963039338282,0.020814082167831337,0.9197423836400429
2010-06-17,0.014733903798742998,0.04470963039338282,0.020814082167831337,0.9197423836400429
2010-06-18,0.014733903798742998,0.04470963039338282,0.020814082167831337,0.9197423836400429
2010-06-21,0.015338165839774971,0.046832300114053545,0.02125047999429931,0.9165790540518723
2010-06-22,0.015338165839774971,0.046832300114053545,0.02125047999429931,0.9165790540518723
2010-06-23,0.015338165839774971,0.046832300114053545,0.02125047999429931,0.9165790540518723
2010-06-24,0.015338165839774971,0.046832300114053545,0.02125047999429931,0.9165790540518723
2010-06-25,0.015338165839774971,0.046832300114053545,0.02125047999429931,0.9165790540518723
2010-06-28,0.01520956666452442,0.04677609627120348,0.02020104681497755,0.9178132902492945
2010-06-29,0.01520956666452442,0.04677609627120348,0.02020104681497755,0.9178132902492945
2010-06-30,0.01520956666452442,0.04677609627120348,0.02020104681497755,0.9178132902492945
2010-07-01,0.01520956666452442,0.04677609627120348,0.02020104681497755,0.9178132902492945
2010-07-02,0.01520956666452442,0.04677609627120348,0.02020104681497755,0.9178132902492945
2010-07-06,0.01470210264741324,0.046382426107001586,0.017021413363595042,0.9218940578819901
2010-07-07,0.01470210264741324,0.046382426107001586,0.017021413363595042,0.9218940578819901
2010-07-08,0.01470210264741324,0.046382426107001586,0.017021413363595042,0.9218940578819901
2010-07-09,0.01470210264741324,0.046382426107001586,0.017021413363595042,0.9218940578819901
2010-07-12,0.01470210264741324,0.046382426107001586,0.017021413363595042,0.9218940578819901
2010-07-13,0.014523862860703843,0.04863892866925124,0.017251397870461975,0.9195858105995831
2010-07-14,0.014523862860703843,0.04863892866925124,0.017251397870461975,0.9195858105995831
2010-07-15,0.014523862860703843,0.04863892866925124,0.017251397870461975,0.9195858105995831
2010-07-16,0.014523862860703843,0.04863892866925124,0.017251397870461975,0.9195858105995831
2010-07-19,0.014523862860703843,0.04863892866925124,0.017251397870461975,0.9195858105995831
2010-07-20,0.01384386978534311,0.04559129248821599,0.017152917214043745,0.9234119205123972
2010-07-21,0.01384386978534311,0.04559129248821599,0.017152917214043745,0.9234119205123972
2010-07-22,0.01384386978534311,0.04559129248821599,0.017152917214043745,0.9234119205123972
2010-07-23,0.01384386978534311,0.04559129248821599,0.017152917214043745,0.9234119205123972
2010-07-26,0.01384386978534311,0.04559129248821599,0.017152917214043745,0.9234119205123972
2010-07-27,0.01412219239403874,0.046774878946984226,0.018235591612678972,0.9208673370462981
2010-07-28,0.01412219239403874,0.046774878946984226,0.018235591612678972,0.9208673370462981
2010-07-29,0.01412219239403874,0.046774878946984226,0.018235591612678972,0.9208673370462981
2010-07-30,0.01412219239403874,0.046774878946984226,0.018235591612678972,0.9208673370462981
2010-08-02,0.01412219239403874,0.046774878946984226,0.018235591612678972,0.9208673370462981
2010-08-03,0.014351195452175605,0.04577109997448386,0.018357856420866795,0.9215198481524738
2010-08-04,0.014351195452175605,0.04577109997448386,0.018357856420866795,0.9215198481524738
2010-08-05,0.014351195452175605,0.04577109997448386,0.018357856420866795,0.9215198481524738
2010-08-06,0.014351195452175605,0.04577109997448386,0.018357856420866795,0.9215198481524738
2010-08-09,0.014351195452175605,0.04577109997448386,0.018357856420866795,0.9215198481524738
2010-08-10,0.014321606143061372,0.042422022438770385,0.018172762541937205,0.9250836088762311
2010-08-11,0.014321606143061372,0.042422022438770385,0.018172762541937205,0.9250836088762311
2010-08-12,0.014321606143061372,0.042422022438770385,0.018172762541937205,0.9250836088762311
2010-08-13,0.014321606143061372,0.042422022438770385,0.018172762541937205,0.9250836088762311
2010-08-16,0.014321606143061372,0.042422022438770385,0.018172762541937205,0.9250836088762311
2010-08-17,0.014225283761775441,0.04094431615805398,0.018775709556416983,0.9260546905237534
2010-08-18,0.014225283761775441,0.04094431615805398,0.018775709556416983,0.9260546905237534
2010-08-19,0.014225283761775441,0.04094431615805398,0.018775709556416983,0.9260546905237534
2010-08-20,0.014225283761775441,0.04094431615805398,0.018775709556416983,0.9260546905237534
2010-08-23,0.014225283761775441,0.04094431615805398,0.018775709556416983,0.9260546905237534
2010-08-24,0.014876364546386273,0.042789972131731115,0.02041542883965382,0.9219182344822289
2010-08-25,0.014876364546386273,0.042789972131731115,0.02041542883965382,0.9219182344822289
2010-08-26,0.014876364546386273,0.042789972131731115,0.02041542883965382,0.9219182344822289
2010-08-27,0.014876364546386273,0.042789972131731115,0.02041542883965382,0.9219182344822289
2010-08-30,0.014876364546386273,0.042789972131731115,0.02041542883965382,0.9219182344822289
2010-08-31,0.015004799388163443,0.03758615427661013,0.02170717962010007,0.9257018667151263
2010-09-01,0.015004799388163443,0.03758615427661013,0.02170717962010007,0.9257018667151263
2010-09-02,0.015004799388163443,0.03758615427661013,0.02170717962010007,0.9257018667151263
2010-09-03,0.015004799388163443,0.03758615427661013,0.02170717962010007,0.9257018667151263
2010-09-07,0.015004799388163443,0.03758615427661013,0.02170717962010007,0.9257018667151263
2010-09-08,0.01441640294827636,0.035546356568807995,0.022531425845380072,0.9275058146375355
2010-09-09,0.01441640294827636,0.035546356568807995,0.022531425845380072,0.9275058146375355
2010-09-10,0.01441640294827636,0.035546356568807995,0.022531425845380072,0.9275058146375355
2010-09-13,0.01441640294827636,0.035546356568807995,0.022531425845380072,0.9275058146375355
2010-09-14,0.01441640294827636,0.035546356568807995,0.022531425845380072,0.9275058146375355
2010-09-15,0.014583776704283753,0.03425835586998477,0.02094932233667255,0.9302085450890589
2010-09-16,0.014583776704283753,0.03425835586998477,0.02094932233667255,0.9302085450890589
2010-09-17,0.014583776704283753,0.03425835586998477,0.02094932233667255,0.9302085450890589
2010-09-20,0.014583776704283753,0.03425835586998477,0.02094932233667255,0.9302085450890589
2010-09-21,0.014583776704283753,0.03425835586998477,0.02094932233667255,0.9302085450890589
2010-09-22,0.014598890910138666,0.0328626458689669,0.021020308922899494,0.931518154297995
2010-09-23,0.014598890910138666,0.0328626458689669,0.021020308922899494,0.931518154297995
2010-09-24,0.014598890910138666,0.0328626458689669,0.021020308922899494,0.931518154297995
2010-09-27,0.014598890910138666,0.0328626458689669,0.021020308922899494,0.931518154297995
2010-09-28,0.014598890910138666,0.0328626458689669,0.021020308922899494,0.931518154297995
2010-09-29,0.014593314242893406,0.03292228079037676,0.02180743302345395,0.930676971943276
2010-09-30,0.014593314242893406,0.03292228079037676,0.02180743302345395,0.930676971943276
2010-10-01,0.014593314242893406,0.03292228079037676,0.02180743302345395,0.930676971943276
2010-10-04,0.014593314242893406,0.03292228079037676,0.02180743302345395,0.930676971943276
2010-10-05,0.014593314242893406,0.03292228079037676,0.02180743302345395,0.930676971943276
2010-10-06,0.01463661826042045,0.034555640362280586,0.0206738328034158,0.9301339085738832
2010-10-07,0.01463661826042045,0.034555640362280586,0.0206738328034158,0.9301339085738832
2010-10-08,0.01463661826042045,0.034555640362280586,0.0206738328034158,0.9301339085738832
2010-10-11,0.01463661826042045,0.034555640362280586,0.0206738328034158,0.9301339085738832
2010-10-12,0.01463661826042045,0.034555640362280586,0.0206738328034158,0.9301339085738832
2010-10-13,0.014624867336465957,0.033572763160297996,0.019433822435917368,0.9323685470673188
2010-10-14,0.014624867336465957,0.033572763160297996,0.019433822435917368,0.9323685470673188
2010-10-15,0.014624867336465957,0.033572763160297996,0.019433822435917368,0.9323685470673188
2010-10-18,0.014624867336465957,0.033572763160297996,0.019433822435917368,0.9323685470673188
2010-10-19,0.014624867336465957,0.033572763160297996,0.019433822435917368,0.9323685470673188
2010-10-20,0.01590021076567634,0.036097075683099625,0.016940669913380106,0.931062043637844
2010-10-21,0.01590021076567634,0.036097075683099625,0.016940669913380106,0.931062043637844
2010-10-22,0.01590021076567634,0.036097075683099625,0.016940669913380106,0.931062043637844
2010-10-25,0.01590021076567634,0.036097075683099625,0.016940669913380106,0.931062043637844
2010-10-26,0.01590021076567634,0.036097075683099625,0.016940669913380106,0.931062043637844
2010-10-27,0.017138870903981064,0.03729857638463637,0.01749354418367314,0.9280690085277095
2010-10-28,0.017138870903981064,0.03729857638463637,0.01749354418367314,0.9280690085277095
2010-10-29,0.017138870903981064,0.03729857638463637,0.01749354418367314,0.9280690085277095
2010-11-01,0.017138870903981064,0.03729857638463637,0.01749354418367314,0.9280690085277095
2010-11-02,0.017138870903981064,0.03729857638463637,0.01749354418367314,0.9280690085277095
2010-11-03,0.018774455769538873,0.038077712699884976,0.018076244687467928,0.9250715868431083
2010-11-04,0.018774455769538873,0.038077712699884976,0.018076244687467928,0.9250715868431083
2010-11-05,0.018774455769538873,0.038077712699884976,0.018076244687467928,0.9250715868431083
2010-11-08,0.018774455769538873,0.038077712699884976,0.018076244687467928,0.9250715868431083
2010-11-09,0.018774455769538873,0.038077712699884976,0.018076244687467928,0.9250715868431083
2010-11-10,0.017954141087872622,0.03499226407069637,0.015030376243360758,0.9320232185980702
2010-11-11,0.017954141087872622,0.03499226407069637,0.015030376243360758,0.9320232185980702
2010-11-12,0.017954141087872622,0.03499226407069637,0.015030376243360758,0.9320232185980702
2010-11-15,0.017954141087872622,0.03499226407069637,0.015030376243360758,0.9320232185980702
2010-11-16,0.017954141087872622,0.03499226407069637,0.015030376243360758,0.9320232185980702
2010-11-17,0.01886317204814892,0.032836102441398556,0.014773234363049769,0.9335274911474027
2010-11-18,0.01886317204814892,0.032836102441398556,0.014773234363049769,0.9335274911474027
2010-11-19,0.01886317204814892,0.032836102441398556,0.014773234363049769,0.9335274911474027
2010-11-22,0.01886317204814892,0.032836102441398556,0.014773234363049769,0.9335274911474027
2010-11-23,0.01886317204814892,0.032836102441398556,0.014773234363049769,0.9335274911474027
2010-11-24,0.018000397268448494,0.03290640648280793,0.014674795366456364,0.9344184008822872
2010-11-26,0.018000397268448494,0.03290640648280793,0.014674795366456364,0.9344184008822872
2010-11-29,0.018000397268448494,0.03290640648280793,0.014674795366456364,0.9344184008822872
2010-11-30,0.018000397268448494,0.03290640648280793,0.014674795366456364,0.9344184008822872
2010-12-01,0.018000397268448494,0.03290640648280793,0.014674795366456364,0.9344184008822872
2010-12-02,0.01685869450983316,0.02879568029286875,0.015259748105135586,0.9390858770921625
2010-12-03,0.01685869450983316,0.02879568029286875,0.015259748105135586,0.9390858770921625
2010-12-06,0.01685869450983316,0.02879568029286875,0.015259748105135586,0.9390858770921625
2010-12-07,0.01685869450983316,0.02879568029286875,0.015259748105135586,0.9390858770921625
2010-12-08,0.01685869450983316,0.02879568029286875,0.015259748105135586,0.9390858770921625
2010-12-09,0.017561536650379628,0.026042387309957647,0.014441494759492976,0.9419545812801697
2010-12-10,0.017561536650379628,0.026042387309957647,0.014441494759492976,0.9419545812801697
2010-12-13,0.017561536650379628,0.026042387309957647,0.014441494759492976,0.9419545812801697
2010-12-14,0.017561536650379628,0.026042387309957647,0.014441494759492976,0.9419545812801697
